date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:31:56	8698/8698	---MCZ	200	added ('OK')	text/html	etag:W/%22bd6aefd507b4bafda4ebd5551b31e395%22	https://ict-club.pages.dev/robots.txt		(from )
09:31:57	43252/43252	---MCZ	200	added ('OK')	text/html	etag:W/%22bd6aefd507b4bafda4ebd5551b31e395%22	https://ict-club.pages.dev/	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/index.html	(from )
09:31:57	1821/1821	---M--	200	added ('OK')	image/png	etag:%220753af4cd616d294d9b765c49be8d5d2%22	https://ict-club.pages.dev/assets/img/favicon.png	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/favicon.png	(from https://ict-club.pages.dev/)
09:31:57	16586/16586	---M--	200	added ('OK')	image/png	etag:%22893eb747faca561123da92e0eb41f01b%22	https://ict-club.pages.dev/assets/img/apple-touch-icon.png	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/apple-touch-icon.png	(from https://ict-club.pages.dev/)
09:31:57	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%22dbeca78d63f00a3cebed6b33d4df6e82%22	https://ict-club.pages.dev/assets/vendor/animate.css/animate.min.css	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/vendor/animate.css/animate.min.css	(from https://ict-club.pages.dev/)
09:31:58	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%22fd977eaa61474ec79455d097a9516755%22	https://ict-club.pages.dev/assets/vendor/aos/aos.css	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/vendor/aos/aos.css	(from https://ict-club.pages.dev/)
09:31:58	194901/194901	---MCZ	200	added ('OK')	text/css	etag:W/%2244824e05db9963f012f4d6fbbd369c04%22	https://ict-club.pages.dev/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://ict-club.pages.dev/)
09:31:58	88585/88585	---MCZ	200	added ('OK')	text/css	etag:W/%22216fc61927a825e5ba542cebac4ffb5b%22	https://ict-club.pages.dev/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://ict-club.pages.dev/)
09:31:58	68028/68028	---MCZ	200	added ('OK')	text/css	etag:W/%22561f5dea6de4de2845754c278d722180%22	https://ict-club.pages.dev/assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/vendor/boxicons/css/boxicons.min.css	(from https://ict-club.pages.dev/)
09:31:59	13749/13749	---MCZ	200	added ('OK')	text/css	etag:W/%22734a16ec40dbbcfdcf48777b16c2dd6c%22	https://ict-club.pages.dev/assets/vendor/glightbox/css/glightbox.min.css	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/vendor/glightbox/css/glightbox.min.css	(from https://ict-club.pages.dev/)
09:31:59	110438/110438	---MCZ	200	added ('OK')	text/css	etag:W/%22772b91f28aae61d1f67172cbde8b3a16%22	https://ict-club.pages.dev/assets/vendor/remixicon/remixicon.css	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/vendor/remixicon/remixicon.css	(from https://ict-club.pages.dev/)
09:31:59	16468/16468	---MCZ	200	added ('OK')	text/css	etag:W/%228403c96feb1ed67858ad5d6fb54699b5%22	https://ict-club.pages.dev/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/vendor/swiper/swiper-bundle.min.css	(from https://ict-club.pages.dev/)
09:31:59	28505/28505	---MCZ	200	added ('OK')	text/css	etag:W/%223913f5917c13a5fb334eab116f21ec85%22	https://ict-club.pages.dev/assets/css/style.css	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/css/style.css	(from https://ict-club.pages.dev/)
09:31:59	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2019%20Oct%202023%2006:32:01%20GMT	https://ict-club.pages.dev/index.html	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/index-2.html	(from https://ict-club.pages.dev/)
09:31:59	19280/19280	---M--	200	added ('OK')	image/png	etag:%225bfc06e6f2c03f6ca61c17ad988f683a%22	https://ict-club.pages.dev/assets/img/ict.png	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/ict.png	(from https://ict-club.pages.dev/)
09:32:00	129197/129197	---M--	200	added ('OK')	image/png	etag:%2247e9dd86e35fdedbdcfa1abfc587648b%22	https://ict-club.pages.dev/assets/img/cosmos.png	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/cosmos.png	(from https://ict-club.pages.dev/)
09:32:06	127849/127849	---M--	200	added ('OK')	image/png	etag:%2240f76e6d4fbda20687ad759ba278e7ee%22	https://ict-club.pages.dev/assets/img/organigram.png	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/organigram.png	(from https://ict-club.pages.dev/)
09:32:06	87846/87846	---M--	200	added ('OK')	image/jpeg	etag:%22eb96dbe23fb44d715202124a0bf63ee9%22	https://ict-club.pages.dev/assets/img/testimonials/pawansir.jpg	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/testimonials/pawansir.jpg	(from https://ict-club.pages.dev/)
09:32:07	26281/26281	---M--	200	added ('OK')	image/png	etag:%22ee254429cf67614868e1bd7b8f68e13c%22	https://ict-club.pages.dev/assets/img/testimonials/baburamsir.png	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/testimonials/baburamsir.png	(from https://ict-club.pages.dev/)
09:32:07	76255/76255	---M--	200	added ('OK')	image/jpeg	etag:%22425d34efd6a8d54bdb2f4bd35dca4b5f%22	https://ict-club.pages.dev/assets/img/testimonials/bibeksir.jpg	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/testimonials/bibeksir.jpg	(from https://ict-club.pages.dev/)
09:32:11	612963/612963	---M--	200	added ('OK')	image/jpeg	etag:%2235788bfb917e09e9181ffbfa0d648911%22	https://ict-club.pages.dev/assets/img/team/nischal.JPG	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/team/nischal.jpg	(from https://ict-club.pages.dev/)
09:32:13	630173/630173	---M--	200	added ('OK')	image/jpeg	etag:%229fc55d8af990f1d4574603a44b31c3fe%22	https://ict-club.pages.dev/assets/img/team/yogesh.jpg	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/team/yogesh.jpg	(from https://ict-club.pages.dev/)
09:32:25	900488/900488	---M--	200	added ('OK')	image/jpeg	etag:%22ae407565a2f1f529d3ee39e148b652e0%22	https://ict-club.pages.dev/assets/img/team/santosh.jpg	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/team/santosh.jpg	(from https://ict-club.pages.dev/)
09:32:26	14690/14690	---MCZ	200	added ('OK')	text/javascript	etag:W/%222241f6b728e8688fb52ca13766ec9735%22	https://ict-club.pages.dev/assets/vendor/aos/aos.js	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/vendor/aos/aos.js	(from https://ict-club.pages.dev/)
09:32:29	80496/80496	---MCZ	200	added ('OK')	text/javascript	etag:W/%2268be5163e8762482ddc4a2c734b031de%22	https://ict-club.pages.dev/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://ict-club.pages.dev/)
09:32:31	55880/55880	---MCZ	200	added ('OK')	text/javascript	etag:W/%229b60a3c0c50d7084864c4698d227b9a4%22	https://ict-club.pages.dev/assets/vendor/glightbox/js/glightbox.min.js	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/vendor/glightbox/js/glightbox.min.js	(from https://ict-club.pages.dev/)
09:32:33	1686476/1686476	---M--	200	added ('OK')	image/jpeg	etag:%2217118cb98c0943ada928cb91dccb18c0%22	https://ict-club.pages.dev/assets/img/rules.jpg	C:/My%20Web%20Sites/ICT%20CLUB/ict-club.pages.dev/assets/img/rules.jpg	(from https://ict-club.pages.dev/)
